Run,Step,Catalyst_ID,Position_X,Position_Y,Manhattan_Distance
1,3720,0,10,4,6
1,3730,0,10,4,6
1,3740,0,10,4,6
1,3750,0,10,4,6
1,3760,0,10,4,6
1,3770,0,10,4,6
1,3780,0,10,4,6
1,3790,0,10,4,6
1,3800,0,10,4,6
1,3810,0,10,4,6
1,3820,0,10,4,6
1,3830,0,10,4,6
1,3840,0,10,4,6
1,3850,0,10,4,6
1,3860,0,10,4,6
1,3870,0,10,4,6
1,3880,0,10,4,6
1,3890,0,10,4,6
1,3900,0,10,5,5
1,3910,0,10,5,5
1,3920,0,10,5,5
1,3930,0,10,5,5
1,3940,0,10,4,6
1,3950,0,10,4,6
1,3960,0,10,4,6
1,3970,0,10,4,6
1,3980,0,10,4,6
1,3990,0,10,4,6
1,4000,0,10,4,6
1,4010,0,10,4,6
1,4020,0,10,4,6
1,4030,0,10,4,6
1,4040,0,10,4,6
1,4050,0,10,4,6
1,4060,0,10,4,6
1,4070,0,10,4,6
1,4080,0,10,4,6
1,4090,0,10,4,6
1,4100,0,10,4,6
1,4110,0,10,4,6
1,4120,0,10,4,6
1,4130,0,10,4,6
1,4140,0,10,4,6
1,4150,0,10,4,6
1,4160,0,10,4,6
1,4170,0,10,4,6
1,4180,0,10,4,6
1,4190,0,10,4,6
1,4200,0,10,4,6
1,4210,0,10,4,6
1,4220,0,10,4,6
1,4230,0,10,3,7
1,4240,0,10,3,7
1,4250,0,10,3,7
1,4260,0,10,3,7
1,4270,0,10,3,7
1,4280,0,10,3,7
1,4290,0,10,3,7
1,4300,0,10,3,7
1,4310,0,10,3,7
1,4320,0,10,3,7
1,4330,0,10,3,7
1,4340,0,10,3,7
1,4350,0,10,3,7
1,4360,0,10,3,7
1,4370,0,10,3,7
1,4380,0,9,3,6
1,4390,0,9,3,6
1,4400,0,9,3,6
1,4410,0,9,3,6
1,4420,0,9,3,6
1,4430,0,9,3,6
1,4440,0,9,3,6
1,4450,0,9,3,6
1,4460,0,9,3,6
1,4470,0,9,3,6
1,4480,0,9,3,6
1,4490,0,9,3,6
1,4500,0,9,3,6
1,4510,0,9,3,6
1,4520,0,9,3,6
1,4530,0,9,3,6
1,4540,0,9,3,6
1,4550,0,9,3,6
1,4560,0,9,3,6
1,4570,0,9,3,6
1,4580,0,9,3,6
1,4590,0,9,3,6
1,4600,0,9,3,6
1,4610,0,9,3,6
1,4620,0,9,3,6
1,4630,0,9,3,6
1,4640,0,9,3,6
1,4650,0,9,3,6
1,4660,0,9,3,6
1,4670,0,9,3,6
1,4680,0,9,3,6
1,4690,0,9,3,6
1,4700,0,9,3,6
1,4710,0,9,3,6
1,4720,0,9,3,6
1,4730,0,9,4,5
1,4740,0,9,4,5
1,4750,0,9,4,5
1,4760,0,9,4,5
1,4770,0,9,3,6
1,4780,0,9,3,6
1,4790,0,9,3,6
1,4800,0,9,3,6
1,4810,0,9,3,6
1,4820,0,9,3,6
1,4830,0,9,3,6
1,4840,0,9,3,6
1,4850,0,10,3,7
1,4860,0,10,3,7
1,4870,0,10,3,7
1,4880,0,10,3,7
1,4890,0,10,3,7
1,4900,0,10,3,7
1,4910,0,10,3,7
1,4920,0,10,3,7
1,4930,0,10,3,7
1,4940,0,10,3,7
1,4950,0,10,3,7
1,4960,0,10,3,7
1,4970,0,10,3,7
1,4980,0,10,3,7
1,4990,0,10,3,7
1,5000,0,10,3,7
1,5010,0,10,3,7
1,5020,0,10,3,7
1,5030,0,10,3,7
1,5040,0,10,3,7
1,5050,0,10,3,7
1,5060,0,10,3,7
1,5070,0,10,3,7
1,5080,0,10,3,7
1,5090,0,10,3,7
1,5100,0,10,3,7
1,5110,0,10,3,7
1,5120,0,10,3,7
1,5130,0,10,3,7
1,5140,0,10,3,7
1,5150,0,10,3,7
1,5160,0,10,3,7
1,5170,0,10,3,7
1,5180,0,10,3,7
1,5190,0,10,3,7
1,5200,0,9,3,6
1,5210,0,9,3,6
1,5220,0,9,3,6
1,5230,0,9,3,6
1,5240,0,9,3,6
1,5250,0,9,3,6
1,5260,0,9,3,6
1,5270,0,9,3,6
1,5280,0,9,3,6
1,5290,0,9,3,6
1,5300,0,9,3,6
1,5310,0,9,3,6
1,5320,0,9,3,6
1,5330,0,9,3,6
1,5340,0,9,3,6
1,5350,0,9,3,6
1,5360,0,9,3,6
1,5370,0,9,3,6
1,5380,0,9,3,6
1,5390,0,9,2,7
1,5400,0,9,2,7
1,5410,0,9,2,7
1,5420,0,9,2,7
1,5430,0,9,2,7
1,5440,0,9,2,7
1,5450,0,9,2,7
1,5460,0,9,2,7
1,5470,0,9,2,7
1,5480,0,9,2,7
1,5490,0,9,2,7
1,5500,0,9,2,7
1,5510,0,9,2,7
1,5520,0,9,2,7
1,5530,0,9,2,7
1,5540,0,9,2,7
1,5550,0,9,2,7
1,5560,0,9,2,7
1,5570,0,9,2,7
1,5580,0,9,2,7
1,5590,0,9,2,7
1,5600,0,9,2,7
1,5610,0,8,2,6
1,5620,0,8,2,6
1,5630,0,8,2,6
1,5640,0,8,2,6
1,5650,0,8,2,6
1,5660,0,8,2,6
1,5670,0,8,2,6
1,5680,0,8,2,6
1,5690,0,8,2,6
1,5700,0,8,2,6
1,5710,0,8,2,6
1,5720,0,8,2,6
1,5730,0,8,2,6
1,5740,0,8,2,6
1,5750,0,8,2,6
1,5760,0,8,2,6
1,5770,0,8,2,6
1,5780,0,8,2,6
1,5790,0,8,2,6
1,5800,0,8,2,6
1,5810,0,8,2,6
1,5820,0,8,2,6
1,5830,0,8,2,6
1,5840,0,8,2,6
1,5850,0,8,2,6
1,5860,0,8,2,6
1,5870,0,8,2,6
1,5880,0,8,2,6
1,5890,0,8,2,6
1,5900,0,8,2,6
1,5910,0,8,2,6
1,5920,0,8,2,6
1,5930,0,8,2,6
1,5940,0,8,2,6
1,5950,0,8,2,6
1,5960,0,8,2,6
1,5970,0,8,2,6
1,5980,0,8,2,6
1,5990,0,8,2,6
1,6000,0,8,2,6
1,6010,0,8,2,6
1,6020,0,8,2,6
1,6030,0,8,2,6
1,6040,0,8,2,6
1,6050,0,8,2,6
1,6060,0,8,2,6
1,6070,0,8,2,6
1,6080,0,8,2,6
1,6090,0,8,2,6
1,6100,0,8,2,6
1,6110,0,8,2,6
1,6120,0,8,2,6
1,6130,0,8,2,6
1,6140,0,8,2,6
1,6150,0,8,2,6
1,6160,0,8,2,6
1,6170,0,8,2,6
1,6180,0,8,2,6
1,6190,0,8,2,6
1,6200,0,8,2,6
1,6210,0,8,2,6
1,6220,0,8,2,6
1,6230,0,8,2,6
1,6240,0,8,2,6
1,6250,0,8,2,6
1,6260,0,8,2,6
1,6270,0,8,2,6
1,6280,0,8,2,6
1,6290,0,8,2,6
1,6300,0,8,2,6
1,6310,0,8,2,6
1,6320,0,8,2,6
1,6330,0,8,2,6
1,6340,0,8,3,5
1,6350,0,8,3,5
1,6360,0,8,4,4
1,6370,0,8,4,4
1,6380,0,8,4,4
1,6390,0,8,4,4
1,6400,0,8,4,4
1,6410,0,8,4,4
1,6420,0,8,4,4
1,6430,0,8,4,4
1,6440,0,8,4,4
1,6450,0,8,4,4
1,6460,0,8,4,4
1,6470,0,8,3,5
1,6480,0,8,3,5
1,6490,0,8,3,5
1,6500,0,8,3,5
1,6510,0,8,3,5
1,6520,0,8,3,5
1,6530,0,8,3,5
1,6540,0,8,3,5
1,6550,0,8,3,5
1,6560,0,8,3,5
1,6570,0,8,3,5
1,6580,0,8,3,5
1,6590,0,8,3,5
1,6600,0,8,3,5
1,6610,0,8,3,5
1,6620,0,8,3,5
1,6630,0,8,3,5
1,6640,0,8,3,5
1,6650,0,8,3,5
1,6660,0,8,3,5
1,6670,0,8,3,5
1,6680,0,8,3,5
1,6690,0,8,3,5
